"Authorization","Autorisierung"
"Billing", "Buchung"
"Confirmation URL called: Payment ", "Bestätigung URL aufgerufen: Zahlung "
"Payment ", "Zahlung "
"RESERVED","RESERVIERT"
"BILLED","GEBUCHT"
"CREDITED","GUTGESCHRIEBEN"
"SUSPENDED","SCHWEBEND"
"REVERSED", "STORNIERT"
"ERROR", "FEHLER"
"Payment was successful.","Zahlung war erfolgreich."
"mPAY24 enabled","mPAY24 aktiviert"
"SOAP password","SOAP Passwort"
"Merchant ID","Händler ID"
"API uses proxy","API benutzt Proxy"
"Billing address mode","Rechnungsadresse-Modus"
"Title","Titel"
"Status of paid orders","Status bezahlter Transaktionen"
"Payment systems","Zahlungssysteme"
"When switching the system, please set the right merchant ID and SOAP password!","Beim Umstellen des Systems, passen Sie bitte die Händler ID und das SOAP Passwort entsprechend an!"
"The Merchant ID provided by mPAY24","Die Händler/Partner ID, die Sie von mPAY24 bekommen."
"The SOAP password provided by mPAY24","Das Webservices/SOAP-Passwort, das Sie von mPAY24 bekommen."
"Show free products","Kostenlose Produkte anzeigen"
"Show the free 'children' products of configurable products in the mPAY24 shopping cart","Die kostenlosen Produkte (Produktvarianten) eines konfigurierbaren Produktes anzeigen"
"The transaction was not found!", "Die Transaktion wurde nicht gefunden!"
"The transaction was canceled by the customer", "Die Transaktion wurde von dem Kunden abgebrochen"
"Credit memo has been created automatically through of MI/F crediting!", "Das 'credit memo' wurde automatisch, aufgrund einer MI/F Gutschrift, erzeugt"
"Redirected to mPAY24 pay page", "Weitergeleitet zu der mPAY24 Bezahlseite"
"Payment method", "Zahlungssystem"
"Approval code", "Bestätigungscode"
"You can choose the payment system you want to use now or do it when you are redirected to the mPAY24 pay page after placing the order.", "Sie können Ihre Zahlungssystemauswahl entweder jetzt treffen, oder wenn Sie zur mPAY24 Bezahlseite weitergeleitet werden, nachdem Sie Ihre Bestellung bestätigen."
"The order was not captured! For mor information see the log files!", "Die Bestellung wurde nicht gebucht! Für weitere Informationen überprüfen Sie bitte Ihre Logs!"
"The order was not refunded! For mor information see the log files!", "Die Bestellung wurde nicht gutgeschrieben! Für weitere Informationen überprüfen Sie bitte Ihre Logs!"
"The order was not canceled! For mor information see the log files!", "Die Bestellung wurde nicht storniert! Für weitere Informationen überprüfen Sie bitte Ihre Logs!"
"Custom configuration", "Angepasste Konfiguration"
"Number", "Position"
"ProductNr", "Produktnummer"
"Description", "Beschreibung"
"Package", "Paket"
"Quantity", "Anzahl"
"ItemPrice", "Einzelpreis"
"Price", "Preis"
"Invalid amount for authorization!", "Ungültiger Autorisierungsbetrag!"
"Please contact the merchant,", "Bitte kontaktieren Sie den Händler,"
"this payment is not possible at the moment!", "diese Zahlung ist derzeit nicht möglich!"
"Automatic clearing for credit card payments", "Automatisches 'Clearing' für Kreditkartenzahlungen"
"ATTENTION! - It is possible that the billing address for the order ID '", "ACHTUNG! - Möglicherweise wurde die Rechnungsadresse für die Bestellung mit der ID '"
"was changed by the customer, but not in your shop! The billing address mode was set back to 'ReadOnly'! If you want to use the mode 'ReadWrite', the variable 'BILLING_ADDR' has to be activated for the 'TRANSACTIONSTATUS' request by mPAY24. Please contact (including your merchant ID '", "' vom Kunden auf der mPAY24 Bezahlseite geändert, jedoch in Ihrem Shop nicht gespeichert! Der Rechnungsadresse-Modus wurde auf 'ReadOnly' zurückgesetzt! Damit Sie den Modus 'ReadWrite' benutzen k��nnen, muss die Variable 'BILLING_ADDR' im 'TRANSACTIONSTATUS'-Request bei mPAY24 freigeschaltet werden. Bitte wenden Sie sich mit Ihrer Händler ID '"
"') mPAY24 (support@mpay24.com)!", "' an mPAY24 (support@mpay24.com)!"
"The billing address las not returned by mPAY24!", "Die Rechnungsadresse wurde von mPAY24 nicht zurückgeliefert!"
"ATTENTION!", "ACHTUNG!"
"All payment methods", "Alle Zahlungssysteme"
"Choose the way the mPAY24 systems are shown in the fronend (checkout)", "Wählen Sie die Art und Weise, wie die mPAY24 Zahlungssysteme dem Kunden angezeigt werden sollen"
